1	64	46	39
0	62	48	40
1	61	48	39
1	61	48	39
2	58	48	38
2	54	48	38
1	52	47	39
3	52	48	41
3	54	50	42
2	58	50	40
3	64	49	40
4	71	49	40
8	81	49	41
11	92	47	41
13	106	50	42
15	122	47	40
17	140	47	40
23	160	45	38
20	151	45	35
20	137	46	37
18	128	46	36
16	120	47	37
15	113	46	39
15	105	46	41
14	101	46	42
13	99	48	42
13	100	47	42
12	102	48	43
12	107	47	42
11	113	48	40
13	121	48	41
12	131	50	41
14	144	50	40
17	157	47	42
16	158	47	39
15	149	49	39
13	141	51	39
12	135	52	40
13	132	51	39
13	129	51	40
15	129	51	40
15	130	50	41
15	134	51	42
17	139	50	42
20	146	49	42
22	157	49	42
24	167	48	41
23	159	48	41
22	154	49	40
21	149	50	41
21	146	50	41
21	145	51	42
22	146	51	42
23	152	51	40
23	157	51	41
27	162	50	45
27	168	50	44
27	162	51	43
25	159	51	43
25	158	52	42
25	157	52	42
27	158	52	43
29	162	53	44
29	167	53	47
31	170	52	46
30	166	53	45
30	164	53	44
30	164	53	45
29	164	54	45
30	166	53	46
30	168	54	47
31	175	54	46
30	173	55	46
29	172	54	46
28	171	55	46
27	173	55	46
29	174	55	48
27	179	56	48
28	178	55	48
27	175	56	49
27	175	56	49
26	177	58	50
26	180	59	49
26	180	59	49
25	179	61	50
24	180	61	52
23	182	62	52
24	183	61	51
23	182	62	53
24	184	61	52
24	184	62	54
23	185	63	54
22	187	63	54
24	187	62	53
23	189	64	53
24	189	63	54
22	190	65	55
23	191	65	55
23	191	65	56
23	193	65	55
22	192	66	57
24	194	66	56
24	196	67	55
23	196	67	55
24	198	67	56
24	201	68	56
24	200	70	59
25	200	70	59
25	200	70	60
26	202	71	59
26	204	72	60
25	203	74	63
24	204	74	64
25	205	74	64
27	206	74	64
29	207	74	65
29	208	76	67
30	211	77	65
30	211	77	66
32	213	78	66
32	213	80	68
34	215	81	68
35	218	83	67
36	218	82	67
36	221	83	68
37	221	84	69
40	221	84	72
41	224	84	72
41	225	84	72
41	226	87	73
45	227	87	75
45	229	89	75
49	233	89	76
48	233	89	76
50	233	90	79
52	236	91	80
54	238	92	82
56	240	94	83
58	240	94	78
59	244	96	81
61	249	98	81
63	258	100	77
67	274	99	67
70	255	100	90
76	257	99	94
77	261	102	96
81	264	106	91
87	270	105	90
93	269	107	75
97	274	111	83
100	279	116	68
105	283	117	75
110	288	114	72
112	293	116	69
124	295	113	67
143	303	101	59
138	304	108	56
144	307	111	54
151	314	109	47
161	320	115	41
172	327	111	45
185	335	107	56
185	335	107	56
185	335	107	56
185	335	107	56
185	335	107	56
185	335	107	56
185	335	107	56
185	335	107	56
185	335	107	56
185	335	107	56
185	335	107	56
185	335	107	56
185	335	107	56
185	335	107	56
185	335	107	56
185	335	107	56
185	335	107	56
185	335	107	56
