97	242	45	49
103	240	44	50
109	243	43	49
122	245	43	49
137	248	42	49
156	251	28	45
173	247	19	47
185	248	16	46
204	244	26	51
203	244	41	47
202	244	44	46
201	244	41	47
201	243	42	48
208	244	42	47
207	244	42	47
208	241	45	47
218	242	48	48
238	243	31	48
237	242	36	48
236	244	40	47
252	244	40	47
249	243	41	49
241	233	42	48
233	224	42	48
228	222	42	48
219	230	43	47
199	238	43	48
175	246	42	46
162	252	42	49
151	259	40	53
143	267	44	53
142	276	39	52
147	285	30	49
154	290	28	50
158	289	24	51
168	291	23	50
176	291	22	52
184	287	21	51
193	284	18	52
202	286	16	49
202	286	16	49
202	286	16	49
202	286	16	49
202	286	16	49
202	286	16	49
202	286	16	49
256	280	17	52
256	280	17	52
256	280	17	52
278	273	19	52
280	274	20	51
284	274	20	52
295	270	20	51
301	273	20	52
303	274	20	51
312	272	20	52
317	265	20	52
326	261	20	52
324	265	19	52
326	266	20	51
329	264	20	52
329	264	20	52
334	263	20	53
341	259	20	52
353	259	20	52
355	257	20	53
358	258	20	53
359	258	20	53
359	258	20	53
360	256	20	53
356	257	20	53
352	258	20	54
352	253	20	54
352	249	20	54
347	242	21	54
343	236	20	53
341	236	21	52
332	236	32	54
332	234	34	52
335	226	34	52
345	216	22	51
348	213	21	51
345	209	22	52
349	209	22	47
353	205	21	46
355	215	22	36
358	223	22	35
360	230	22	34
361	233	21	34
361	237	21	34
362	241	21	32
363	242	21	36
367	249	22	31
369	246	21	34
371	247	21	36
375	258	21	33
381	264	20	27
383	262	22	25
383	245	21	39
385	229	22	34
376	222	24	23
360	206	30	31
348	200	43	35
344	188	42	41
341	183	41	42
342	180	39	43
341	180	39	45
340	182	36	42
340	185	36	40
342	192	36	38
348	199	35	36
353	201	34	36
356	203	34	35
359	208	32	34
355	211	31	33
356	215	31	32
358	218	30	32
360	218	29	32
360	217	29	30
359	220	28	29
356	222	29	28
354	225	28	24
355	222	27	26
357	220	28	26
362	221	27	25
370	218	27	28
379	216	28	29
389	218	26	28
399	219	23	28
408	215	21	30
414	215	17	27
427	208	16	30
445	203	11	31
452	192	11	34
446	189	8	37
439	186	8	38
436	188	11	36
438	185	11	38
432	186	12	36
416	187	19	35
407	186	23	33
399	186	27	33
392	185	30	31
389	186	26	29
391	186	26	30
389	183	23	31
387	176	21	32
380	177	25	31
385	172	21	35
394	171	15	33
393	171	21	30
392	177	24	31
393	176	25	32
393	178	25	31
395	182	26	31
394	184	27	27
396	185	25	23
353	230	22	29
382	184	19	26
376	189	22	24
367	182	23	28
370	181	24	32
373	179	19	34
378	180	13	34
378	184	13	31
375	184	11	35
370	182	8	33
368	182	9	34
367	182	10	34
356	190	16	29
342	187	25	32
334	186	26	31
326	186	24	30
323	184	24	30
314	182	24	29
310	183	22	29
303	184	24	29
299	181	23	30
293	180	25	29
281	181	22	29
274	182	21	30
267	182	20	31
258	187	22	29
250	188	17	29
247	189	18	30
243	191	19	29
242	190	19	29
242	190	17	30
243	191	14	31
240	192	14	30
238	193	15	31
238	193	17	30
243	192	16	32
241	195	13	31
237	193	13	31
236	191	13	31
232	188	18	31
234	188	23	29
235	198	28	21
236	199	28	21
241	196	29	24
233	198	28	21
231	196	26	27
229	196	23	29
225	200	27	24
222	202	28	24
219	201	28	22
212	197	28	22
203	194	28	20
203	193	27	18
200	191	28	22
197	193	28	24
190	192	29	24
187	187	29	24
180	184	28	21
173	190	27	23
163	193	27	25
161	190	27	31
155	185	30	29
153	181	30	24
146	179	31	27
138	183	31	26
131	188	32	28
127	193	31	21
134	199	33	26
136	199	35	30
142	202	34	33
146	204	34	34
149	204	35	34
153	202	33	29
162	202	26	27
167	203	25	24
175	202	27	23
177	205	26	21
171	226	23	21
181	214	20	15
186	221	14	11
183	243	10	10
201	242	9	11
220	238	9	13
228	224	9	15
242	197	10	16
246	211	14	11
246	211	14	11
257	222	12	12
281	224	11	17
281	224	11	17
310	216	14	17
327	219	23	16
348	230	31	16
360	237	40	17
368	244	40	18
368	251	41	18
369	257	42	21
368	259	42	17
369	260	42	17
375	261	41	16
384	261	42	17
389	261	42	17
389	261	45	16
393	273	47	20
398	257	45	17
406	255	41	23
411	249	43	40
415	243	43	50
419	238	44	50
421	235	44	49
427	232	44	48
427	231	44	48
431	225	45	49
435	219	44	51
434	204	45	53
437	183	48	48
445	165	39	50
443	157	37	52
436	159	42	49
435	162	43	47
437	167	46	46
446	168	45	49
450	171	44	48
451	175	46	46
452	176	45	42
445	180	37	37
429	181	51	39
414	188	59	32
410	189	56	30
409	181	53	40
403	187	53	36
394	187	53	37
388	189	52	37
377	193	52	37
369	197	52	37
361	201	52	37
355	200	52	37
346	200	50	36
343	205	38	33
343	203	29	38
343	203	29	38
343	203	29	38
343	203	29	38
343	203	29	38
343	203	29	38
343	203	29	38
343	203	29	38
343	203	29	38
343	203	29	38
343	203	29	38
343	203	29	38
343	203	29	38
343	203	29	38
343	203	29	38
343	203	29	38
343	203	29	38
343	203	29	38
292	188	28	53
291	188	28	53
281	191	40	54
271	192	44	50
266	197	30	46
262	205	23	31
256	203	20	29
245	203	26	25
243	206	26	23
236	205	23	22
225	207	24	20
218	209	16	20
201	214	19	15
201	214	19	15
201	214	19	15
201	214	19	15
201	214	19	15
201	214	19	15
201	214	19	15
228	210	30	17
253	205	30	23
262	203	30	25
